date,local,school,light rail,peak,Rapid,other
2020-10-05,1939,0,2638,0,4165,293
2021-02-28,2148,0,3122,0,4932,332
2020-10-22,13517,4664,6813,250,13741,292
2020-10-27,13366,4735,6410,249,13389,224
2020-11-14,2876,0,4292,0,6061,508
2020-10-08,8654,0,5334,212,10697,370
2020-08-25,11942,5176,5918,186,11884,231
2020-09-28,8822,0,5646,200,10349,410
2020-10-04,1835,0,2814,0,4156,439
2020-10-01,9632,0,5959,197,11869,387
2020-04-16,3024,0,1519,57,3682,61
2020-05-21,6428,2663,2992,79,6671,104
2020-10-03,2448,0,3503,0,5499,513
2020-10-02,9099,0,6026,153,11136,488
2020-03-12,19980,6141,11856,447,27428,491
2020-10-07,8928,0,5391,228,10638,422
2020-03-11,20182,6426,11823,491,27319,585
2020-08-12,11814,5116,5508,180,11606,225
2020-03-10,20171,6571,11984,493,27226,493
2020-10-09,9448,0,5956,191,11243,457
2021-05-08,3305,0,4449,0,6662,560
2020-03-09,2902,0,3995,0,6739,405
2020-03-06,19515,6147,11841,386,26030,774
2020-11-23,12169,3938,6694,234,13066,286
2020-10-10,2518,0,3749,0,5776,422
2020-11-15,2055,0,2905,0,4597,311
2020-11-19,13991,4073,7547,244,14789,377
2020-11-21,3049,0,4297,0,6306,526
2020-10-12,12751,4846,6228,215,12624,377
2020-11-20,13285,3876,7919,188,14184,536
2020-11-17,13498,4119,7499,273,14397,352
2020-11-16,12808,4158,6664,228,12879,341
2020-10-13,13449,4877,6568,243,13550,353
2020-11-30,12851,4073,7276,247,13798,348
2020-11-18,13637,4132,7697,266,14649,398
2020-10-14,13220,4641,6649,235,13692,339
2020-09-23,12750,4965,6079,202,12590,261
2020-10-17,2703,0,3493,0,5492,387
2020-09-29,9469,0,6071,222,11375,398
2020-10-16,12902,4429,6806,192,13176,366
2020-10-11,1846,0,2653,0,4107,234
2021-06-19,3205,0,4204,0,6330,442
2020-10-15,13560,4637,6745,227,13692,342
2020-12-13,2251,0,3312,0,4833,335
2020-11-26,13752,3956,7853,237,14711,408
2021-01-23,2945,0,2339,0,5160,255
2020-11-22,1902,0,2798,0,4360,252
2021-04-11,2086,0,3077,0,4734,376
2020-10-29,13382,4540,6630,223,13813,278
2021-03-28,2286,0,3237,0,4928,346
2020-12-12,3187,0,4569,0,6380,624
2021-03-03,16892,5089,9342,320,18152,476
2021-01-24,1949,0,2378,0,3903,254
2021-06-01,16356,5030,8955,324,17202,392
2021-05-22,3257,0,4342,0,6541,549
2020-10-31,2453,0,2218,0,4521,340
2020-11-01,2082,0,2369,0,4260,213
2021-05-23,2135,0,3130,0,4664,354
2020-10-18,1897,0,2674,0,4101,252
2020-10-24,2428,0,2848,0,4663,318
2020-10-21,13539,4622,6714,285,13699,323
2020-11-11,13983,4262,7324,255,14158,342
2020-11-10,13657,4201,7238,230,14231,361
2020-10-19,12986,4636,6252,209,12772,247
2020-10-20,13325,4799,6738,273,13565,277
2020-11-07,2897,0,3677,0,5741,382
2020-11-12,13405,4331,6751,273,13688,312
2020-10-25,1865,0,2194,0,3787,218
2020-11-09,13296,4141,6583,242,13461,338
2020-10-30,13472,4282,5885,186,13757,410
2020-11-13,13394,4037,7212,198,13614,437
2020-11-27,13588,3637,8556,183,15110,583
2020-10-26,11342,4358,5342,239,11623,198
2020-11-03,13524,4499,6915,237,13918,323
2020-07-20,10779,4314,5428,160,10635,279
2020-11-04,13690,4449,6548,249,13685,260
2020-11-05,12251,4238,5964,212,12220,242
2020-11-06,13752,4284,6979,194,13984,385
2020-11-29,2133,0,3126,0,4919,312
2020-11-28,3122,0,4073,0,6059,549
2020-10-28,13441,4695,6761,237,13669,302
2020-11-08,1897,0,2646,0,4312,216
2020-11-02,13149,4433,5590,247,12978,288
2020-12-05,3054,0,3896,0,6090,466
2021-02-14,2452,0,3325,0,5320,379
2020-12-06,2094,0,3042,0,4717,233
2021-04-07,11733,0,8078,292,15283,577
2020-05-23,1433,0,1687,0,3077,137
2020-09-30,8962,0,5587,190,10557,284
2020-09-08,12692,5132,6026,189,12158,296
2019-09-22,4126,0,4730,0,7066,504
2020-03-25,4365,144,2700,164,6563,90
2020-09-12,2449,0,3363,0,5562,361
2020-04-12,586,0,646,0,1049,42
2020-03-31,3064,49,1648,64,3871,60
2019-10-26,3731,0,6026,0,8449,925
2020-05-31,1286,0,1767,0,2755,153
2020-06-20,1998,0,2815,0,4367,350
2019-08-13,19097,5716,11999,468,26757,373
2020-07-21,11431,5160,5467,148,11239,268
2019-10-05,3494,0,5940,0,9031,1002
2020-02-11,20335,7255,11588,529,26842,477
2020-07-19,1507,0,2289,0,3673,198
2019-11-03,2642,0,3424,0,5713,324
2019-11-12,18612,5741,11465,481,24790,568
2019-10-16,19025,5862,12036,435,26062,481
2019-07-12,12614,0,8826,344,18057,588
2020-09-13,1898,0,2380,0,3907,156
2020-02-09,2536,0,3218,0,5396,291
2019-12-26,2804,0,4270,0,6726,717
2019-08-22,18831,5497,12079,439,26140,413
2020-07-23,11244,5205,5427,167,11301,267
2019-12-18,15571,838,10258,386,20872,525
2019-09-19,19547,5745,12134,458,26165,573
2020-06-24,9303,4733,5331,131,10776,279
