,area,roads,ne_pre,ne_during,ne_post,sw_pre,sw_during,sw_post,lng,lat
0,arterials,Federal Hwy and Stirling Ave,5930,3870,7510,6230,3880,7010,149.1535912,-35.2317057
1,arterials,Federal Hwy and Barton Hwy,12780,9330,15457,17650,9280,22370,149.1225791,-35.2262345
2,arterials,Northbourne Ave and London Cct,14950,7330,15960,10430,5000,12340,,
3,arterials,Gundaroo Dr and ped crossing,14260,8960,15130,15430,10040,16700,,
4,arterials,Gundaroo Dr and Horse Park Dr,9360,6150,10100,8850,5650,9270,,
5,arterials,Barton Hwy and Kuringa Dr,11730,6580,12420,10860,5830,11120,149.0628571,-35.1915919
6,arterials,Horse Park Dr and Gundaroo Dr,15440,10340,16910,13492,9180,15190,,
7,arterials,Horse Park Dr and Well Station Dr,14720,10970,17420,12450,10570,17090,,
8,arterials,Horse Park Dr and Gundaroo Dr,12590,8290,13600,11670,7990,13220,,
9,arterials,Flemington Rd and Well Station Dr,6010,4920,8490,7580,4580,7650,149.14735,-35.20905
10,arterials,John Gorton Dr and Holborow Ave,3620,3090,5850,3380,2680,4100,149.0342253,-35.2996283
11,arterials,Barton Hwy and Randwick Rd,9850,5030,9940,10640,5550,10730,149.1435384,-35.2278877
12,arterials,Monaro Hwy and Lanyon Dr ,26380,17180,26710,29870,20010,30570,148.30843027993257,-36.5018044
13,arterials,Majura Pkwy and Federal Hwy ,18560,13620,22170,16220,11360,20940,149.190395,-35.2150819
14,arterials,Gungalin Dr and Gundaroo Dr,18040,10590,17850,19290,11980,20250,,
15,arterials,Monaro Hwy and Federal Hwy (Set 269),18560,13620,22170,16220,11360,20940,,
16,arterials,Monaro Hwy and Lanyon Dr (Set 131 & ),26380,17180,26710,29870,20010,30570,,
17,arterials,Cotter Rd and Lady Denman Dr (Set 236),15170,7640,13830,23170,11640,23540,,
18,arterials,Cotter Rd and Streeton Dr (Set 44),18860,11410,20910,18470,11290,20400,,
19,arterials,Kuringa Dr and Barton Hwy,9240,5740,8760,12150,7290,11180,149.0628571,-35.1915919
20,arterials,Kingsford Smith Dr and Southern Cross Dr,10560,6540,10640,12380,7570,11790,150.7033381,-33.5835972
21,arterials,William Hovell Dr and Bindubi St,22510,13450,22810,25730,14860,25390,,
22,arterials,Morshead Dr and Monaro Hwy NB Off-ramp,29790,14750,20190,25650,12190,23280,,
23,arterials,Canberra Ave and Tori Price St,22030,14560,21200,22510,14590,20640,,
24,arterials,Canberra Ave and Nyarang St (Set 108),15740,9110,15610,21210,13200,20770,,
25,arterials,Hindmarsh Dr and Eggleston Cr (Set307),34660,20940,31770,22790,13540,21320,,
26,arterials,Hindmarsh Dr and Mugga Ln (Set78),19160,12770,0,15050,9150,0,,
27,arterials,Drakeford Dr and Sulwood Dr (Set64),19990,10730,19340,18910,10170,17970,,
28,arterials,Belconnen Way and GDE (Set35),29590,15370,31280,29100,13890,28460,,
29,arterials,Barry Dr and Cluniess Ross St (Set58),15300,5850,14140,15390,6420,14440,,
30,arterials,Ginninderra Dr and Copland Dr,9600,5900,9240,11680,6660,11300,149.0539506,-35.2187599
31,arterials,Ginninderra Dr and Aikman Dr,18800,10140,17930,17720,9860,17270,,
32,arterials,Ginninderra Dr and Gungahlin Dr SB ramps,12970,6340,12400,14590,7840,14840,,
33,Civic,Northbourne Ave and Elouera St,14030,7990,14620,13460,6790,14740,149.1301599,-35.2726172
34,Civic,Constitution Ave and London Circ,1570,690,2050,2520,1240,2240,,
35,Civic,Barry Dr and Northbourne Ave,15390,6420,14440,15300,5850,14140,,
36,Civic,Barry Dr and McCaughey St,16890,6680,14690,16730,6450,13760,149.1231864,-35.2701416
37,Civic,McCaughey St and Barry Dr,2940,720,2950,4220,1590,3770,149.1231864,-35.2701416
38,Civic,Clunies Ross St and Barry Dr,3890,1960,4400,5080,1700,4720,149.1165082,-35.2732397
39,Civic,Clunies Ross St and Dickson Rd,6330,1960,5460,6430,2100,5720,149.11252220757055,-35.27886015
40,Civic,Dickson St and Clunies Ross St,2790,600,2000,3120,710,2010,,
41,Civic,Marcus Clarke St and Rudd St,6960,2750,5600,6740,2880,5610,149.1269999825624,-35.27643595
42,Civic,Alinga St and Marcus Clarke St,2850,1710,2580,1620,1370,2170,,
43,Civic,Marcus Clarke St and University Ave,6000,1770,4340,4800,1260,3700,,
44,Civic,University Ave and Marcus Clarke St,2430,770,1910,2770,950,1940,,
45,Civic,Edinburgh Ave and Phillip Law St,9190,1600,7460,10850,3010,8420,,
46,Civic,London Circ and Gordon St,0,0,0,2730,960,2380,,
47,Civic,London Circ and Northbourne Ave,5960,2370,5600,3070,1140,2940,,
48,Civic,London Circ and Petrie Plaza ped-crossing,3390,1750,3360,5800,2490,5680,,
49,Civic,London Circ and Constitution Ave,4670,1500,3410,5970,2660,5290,,
50,Civic,Vernon Circ and Constitution Ave,0,0,0,16110,6920,15790,,
51,Civic,Constitution Ave and National Convention Centre,5580,2120,5040,4590,1600,4230,149.1345308289186,-35.284728
52,Civic,Coranderrk St and Constitution Ave,15640,6150,15330,10590,4130,9950,,
53,Civic,Constitution Ave and CIT Reid ped-crossing,2870,950,2280,3060,1020,2440,,
54,Civic,Allara St and Casino ped-crossing,2290,830,2120,2160,830,2100,,
55,Civic,Cooyong St and Akuna St,13130,5210,12630,12610,5070,7290,,
56,Civic,Cooyong St and Scotts Crossing,13880,5820,13750,11890,5060,11010,,
57,Civic,Genge St & Lonsdale St and Cooyong St,3020,1400,2680,3450,1520,3740,,
58,Civic,Commonwealth Avenue and Albert Street,30810,12020,28170,31890,12660,29720,,
59,Civic,Commonwealth Ave and Albert St ped-crossing,30810,12020,28170,31890,12660,29720,,
